,Date,Open,High,Low,Close*,Adj Close**,Volume
268,2021-01-03,1.8,2.36,1.8,2.16,2.16,55073422.0
269,2021-01-04,2.16,2.49,1.88,2.49,2.49,59955405.0
270,2021-01-05,2.49,2.5,2.08,2.16,2.16,50555207.0
271,2021-01-06,2.16,2.19,1.91,1.93,1.93,50263975.0
272,2021-01-07,1.94,2.61,1.93,2.37,2.37,159870278.0
273,2021-01-08,2.37,3.78,2.18,3.22,3.22,206412154.0
274,2021-01-09,3.22,3.66,2.94,3.39,3.39,91906875.0
275,2021-01-10,3.39,3.73,3.2,3.47,3.47,62766977.0
276,2021-01-11,3.46,3.51,2.6,3.11,3.11,82877500.0
277,2021-01-12,3.1,3.84,3.08,3.61,3.61,73484689.0
278,2021-01-13,3.63,3.63,3.27,3.51,3.51,57994893.0
279,2021-01-14,3.52,3.54,3.18,3.28,3.28,59283112.0
280,2021-01-15,3.28,3.44,2.99,3.25,3.25,45331739.0
281,2021-01-16,3.25,3.7,3.25,3.45,3.45,68035606.0
282,2021-01-17,3.43,3.97,3.32,3.82,3.82,85407766.0
283,2021-01-18,3.82,4.15,3.66,3.8,3.8,70601713.0
284,2021-01-19,3.79,4.03,3.61,3.64,3.64,44547768.0
285,2021-01-20,3.64,3.74,3.34,3.72,3.72,46698656.0
286,2021-01-21,3.72,3.73,2.98,2.99,2.99,43834765.0
287,2021-01-22,2.99,3.5,2.54,3.35,3.35,63361382.0
288,2021-01-23,3.34,3.6,3.32,3.5,3.5,27904470.0
289,2021-01-24,3.51,3.79,3.49,3.63,3.63,32747555.0
290,2021-01-25,3.63,3.97,3.45,3.7,3.7,80055958.0
291,2021-01-26,3.7,4.1,3.68,4.05,4.05,78823456.0
292,2021-01-27,4.05,4.05,3.53,3.69,3.69,35195110.0
293,2021-01-28,3.69,3.84,3.61,3.84,3.84,32351306.0
294,2021-01-29,3.86,3.89,3.64,3.83,3.83,44053151.0
295,2021-01-30,3.84,4.31,3.77,4.22,4.22,53378198.0
296,2021-01-31,4.24,4.79,4.17,4.26,4.26,78376267.0
297,2021-02-01,4.26,4.61,4.12,4.61,4.61,39361629.0
298,2021-02-02,4.61,5.4,4.48,5.27,5.27,98755962.0
299,2021-02-03,5.25,5.78,5.07,5.72,5.72,49386327.0
300,2021-02-04,5.73,6.53,5.6,6.43,6.43,108249482.0
301,2021-02-05,6.44,7.13,6.43,6.68,6.68,92892157.0
302,2021-02-06,6.69,6.8,5.71,6.11,6.11,102365494.0
303,2021-02-07,6.12,6.87,5.77,6.7,6.7,105451103.0
304,2021-02-08,6.7,8.06,6.49,7.88,7.88,155254261.0
305,2021-02-09,7.87,8.47,7.57,7.82,7.82,121037873.0
306,2021-02-10,7.82,9.07,7.61,9.07,9.07,120679902.0
307,2021-02-11,9.08,9.71,8.76,9.22,9.22,53600048.0
308,2021-02-12,9.21,9.92,9.08,9.25,9.25,91484664.0
309,2021-02-13,9.24,9.5,8.68,8.73,8.73,91417968.0
310,2021-02-14,8.74,9.22,8.56,8.74,8.74,93500423.0
311,2021-02-15,8.72,9.31,7.84,8.86,8.86,109854635.0
312,2021-02-16,8.86,8.98,7.98,8.3,8.3,71625205.0
313,2021-02-17,8.3,8.43,7.54,8.22,8.22,89948578.0
314,2021-02-18,8.23,9.28,8.23,8.98,8.98,77306770.0
315,2021-02-19,8.98,11.68,8.56,11.47,11.47,261175711.0
316,2021-02-20,11.48,11.79,9.82,10.0,10.0,140264810.0
317,2021-02-21,9.99,11.64,9.89,11.09,11.09,137742366.0
318,2021-02-22,11.07,14.55,9.26,14.45,14.45,574136241.0
319,2021-02-23,14.42,15.74,11.6,15.2,15.2,485252846.0
320,2021-02-24,15.21,18.15,14.86,17.3,17.3,375439707.0
321,2021-02-25,17.23,17.7,13.8,13.82,13.82,364505276.0
322,2021-02-26,13.87,15.48,13.12,13.59,13.59,289687328.0
323,2021-02-27,13.6,14.61,13.06,13.2,13.2,247640940.0
324,2021-02-28,13.21,13.78,11.49,13.09,13.09,300493226.0
325,2021-03-01,13.11,15.52,13.06,14.96,14.96,306451693.0
326,2021-03-02,14.97,15.22,13.46,13.96,13.96,178549852.0
327,2021-03-03,13.96,14.73,13.77,14.12,14.12,153830742.0
328,2021-03-04,14.09,14.26,12.77,13.1,13.1,116364466.0
329,2021-03-05,13.07,13.08,12.18,12.61,12.61,90978408.0
330,2021-03-06,12.57,13.27,11.9,13.04,13.04,118851546.0
331,2021-03-07,13.04,14.0,12.73,13.88,13.88,117548176.0
332,2021-03-08,13.83,13.87,13.08,13.6,13.6,115525659.0
333,2021-03-09,13.62,14.99,13.32,14.85,14.85,134867044.0
334,2021-03-10,14.85,15.19,14.08,14.23,14.23,103150901.0
335,2021-03-11,14.22,16.24,13.7,15.99,15.99,229272516.0
